STATE,DISTRICT,YEAR,RAPE,CUSTODIAL RAPE,OTHER RAPE,DOWRY DEATHS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,CRUELTY BY HUSBAND OR HIS RELATIVES,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,KIDNAPPING & ABDUCTION,ROBBERY,HURT/GREVIOUS HURT,THEFT,BURGLARY,ARSON,DACOITY,TOTAL IPC CRIMES,RISK_SCORE,RISK_LEVEL,MARKER_COLOR
Delhi Ut,Stf,14063,0,0,0,0,0,0,0,0,0,1,36,0,1,2,0,1,0,1,1,181,1.6500000000000001,LOW,green
Delhi Ut,West,24078,804,0,804,207,1744,2387,784,95,0,739,577,139,2699,565,3072,27033,2876,83,21,77547,2000.17,HIGH,red
Goa,North Goa,24078,169,0,169,11,77,92,184,71,0,291,134,45,113,166,1297,4638,2118,150,26,18248,362.19,MEDIUM,orange
Goa,South Goa,24078,181,0,181,8,87,99,144,52,0,196,135,22,123,132,990,3407,1582,122,29,13803,287.91,LOW,green
Gujarat,Ahmedabad Commr.,24078,506,0,506,83,1669,11670,820,225,0,1204,778,101,2301,5292,16439,57655,9392,79,471,218005,4332.4400000000005,HIGH,red
Gujarat,Ahmedabad Rural,24078,85,0,85,12,430,1217,253,1,0,414,191,21,466,349,4117,3592,1318,186,137,37699,461.39000000000004,MEDIUM,orange
Gujarat,Ahwa-Dang,24078,29,0,29,1,5,71,29,1,0,78,13,0,6,9,259,104,51,18,5,2237,28.47,LOW,green
Gujarat,Amreli,24078,96,0,96,9,555,1514,272,30,0,295,132,16,585,183,3518,2112,1305,116,25,27751,425.21999999999997,MEDIUM,orange
Gujarat,Anand,24078,117,0,117,1,449,2022,300,29,0,341,150,21,501,163,4669,4856,1611,200,101,41373,593.05,MEDIUM,orange
Gujarat,Bharuch,24078,118,0,118,0,259,655,214,24,0,450,155,4,302,210,3672,4199,1570,264,138,34364,423.72,MEDIUM,orange
Gujarat,Bhavnagar,24078,150,0,150,23,867,2231,651,438,0,628,371,12,985,786,2624,8643,3240,346,159,65714,932.3,HIGH,red
Gujarat,Cid Crime,6033,2,0,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,54,0.82,LOW,green
Gujarat,Dahod,24078,87,0,87,0,389,328,246,1,0,496,181,21,418,551,4181,1845,1006,286,356,20418,317.05,MEDIUM,orange
Gujarat,Gandhinagar,24078,116,0,116,17,259,1652,200,40,0,292,117,3,315,335,3206,5897,1626,99,71,49069,557.8199999999999,MEDIUM,orange
Gujarat,Himatnagar,24078,141,0,141,7,470,2305,436,11,0,475,148,16,491,210,3171,2688,1732,454,199,56623,546.39,MEDIUM,orange
Gujarat,Jamnagar,24078,192,0,192,8,312,2806,260,46,0,467,269,15,377,270,4899,5136,2210,151,57,53364,697.29,MEDIUM,orange
Gujarat,Junagadh,24078,142,0,142,47,571,4893,519,92,0,536,268,0,663,457,5924,6275,2472,289,98,58705,983.8299999999999,HIGH,red
Gujarat,Kheda North,24078,149,0,149,0,456,1817,361,0,0,470,118,9,486,179,4269,3890,1397,205,119,53275,543.49,MEDIUM,orange
Gujarat,Kutch,20055,97,0,97,15,325,2367,276,21,0,362,206,26,378,284,4110,4219,2337,120,98,42700,594.3199999999999,MEDIUM,orange
Gujarat,Kutch (East(G)),4023,25,0,25,3,40,325,25,1,0,54,26,0,49,40,520,512,194,12,6,5656,75.97999999999999,LOW,green
Gujarat,Kutch (West-Bhuj),4023,23,0,23,0,32,235,32,0,0,48,17,2,33,12,350,380,179,8,4,3725,58.11,LOW,green
Gujarat,Mehsana,24078,92,0,92,15,585,2637,353,11,0,378,281,10,661,474,9223,7430,2565,217,191,57597,852.25,HIGH,red
Gujarat,Narmada,24078,73,0,73,0,54,107,63,6,0,173,36,9,60,16,1228,391,202,69,29,8518,83.81,LOW,green
Gujarat,Navsari,24078,42,0,42,3,100,381,45,5,0,265,61,2,116,93,953,1459,804,40,41,14631,170.59999999999997,LOW,green
Gujarat,Palanpur,24078,315,0,315,9,688,2474,598,13,0,509,298,5,734,481,12298,4824,2506,282,121,51920,846.95,HIGH,red
Gujarat,Panchmahal,24078,112,0,112,1,531,1546,367,37,0,627,158,6,546,223,4008,3065,1480,348,256,37522,508.02,MEDIUM,orange
Gujarat,Patan,24078,108,0,108,0,318,1518,349,3,0,220,159,6,338,190,4283,3556,1082,136,77,31882,452.62,MEDIUM,orange
Gujarat,Porbandar,24078,40,0,40,7,96,669,68,7,0,121,83,7,114,63,1235,899,474,49,1,11988,156.5,LOW,green
Gujarat,Rajkot Commr.,24078,93,0,93,23,410,2659,184,128,0,423,268,8,514,442,4818,13253,3191,314,89,52176,1036.92,HIGH,red
