District,State,total_hospitals,avg_rating,best_hospital_city,best_rating
Tiruchirappalli,Tamilnadu,4,3.95,Trichy,4.6
Tirunelveli,Tamilnadu,1,3.5,Tirunelveli,3.5
Tirupati,Andhra Pradesh,13,4.29,Tirupati,4.9
Tiruppur,Tamilnadu,3,3.4,Tiruppur,4.2
Tiruvannamalai,Tamilnadu,1,3.4,Tiruvannamalai,3.4
Tonk,Rajasthan,1,3.5,Tonk,3.5
Tumakuru,Karnataka,19,3.87,Tumkur,4.8
Udaipur,Rajasthan,9,4.26,Udaipur,4.8
Udham Singh Nagar,Uttarakhand,5,4.0,"Udhamsinghnaga
R",4.8
Udupi,Karnataka,7,3.9,Udupi,4.4
Ujjain,Madhya Pradesh,2,4.25,Ujjain,4.6
Uttara Kannada,Karnataka,3,3.63,Karwar,4.2
Vadodara,Gujarat,28,4.23,Vadodara,4.9
Vaishali,Bihar,1,4.9,Hajipur,4.9
Valsad,Gujarat,1,3.4,Vapi,3.4
Varanasi,Uttar Pradesh,4,3.97,Varanasi,4.1
Vellore,Tamilnadu,1,4.4,Vellore,4.4
Vijayanagara,Karnataka,2,4.1,Hospet,4.1
Virudhunagar,Tamilnadu,1,4.6,Sivakasi,4.6
Visakhapatnam,Andhra Pradesh,24,4.0,Visakhapatnam,4.9
Warangal,Telangana,2,3.2,Warangal,3.8
Wayanad,Kerala,1,3.6,Wayanand,3.6
West Godavari,Andhra Pradesh,8,3.89,Tanuku,4.6
Yamunanagar,Haryana,2,3.6,Yamuna Nagar,4.3
Ysr Kadapa,Andhra Pradesh,9,3.73,Kadapa,4.9
